Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Alex Abrines	OKC	68	SG	8.3	4.5	5.5	39.300000000000004
Quincy Acy	TOT	38	PF	9.7	11	4.9	41.199999999999996
Quincy Acy	DAL	6	PF	9.8	9.7	0	29.4
Quincy Acy	BRK	32	PF	9.6	11.1	5.4	42.5
Steven Adams	OKC	80	C	16	14.2	5.4	57.099999999999994
Arron Afflalo	SAC	61	SG	8.4	4.6	7.4	44
Alexis Ajinca	NOP	39	C	13.7	16	3.1	50
Cole Aldrich	MIN	62	C	15.1	17.4	6.4	52.300000000000004
LaMarcus Aldridge	SAS	72	PF	7.7	12.7	9.9	47.699999999999996
Lavoy Allen	IND	61	PF	13.7	14.2	9.1	45.800000000000004
Tony Allen	MEM	71	SG	13.3	11.7	8.4	46.1
Al-Farouq Aminu	POR	61	SF	15.2	14.1	7.9	39.300000000000004
Chris Andersen	CLE	12	C	15.1	15	5.9	40.9
Alan Anderson	LAC	30	SF	7.4	4.4	4.9	37.5
Justin Anderson	TOT	75	SF	11.7	11.3	8.8	42.4
Justin Anderson	DAL	51	SF	11.2	12.2	7.6	40.1
Justin Anderson	PHI	24	SF	12.6	10.2	10.4	46.300000000000004
Kyle Anderson	SAS	72	SG	14.3	11.5	12.4	44.5
Ryan Anderson	HOU	72	PF	6.2	8.5	4.7	41.8
Giannis Antetokounmpo	MIL	80	SF	13.3	14.3	26.6	52.1
Carmelo Anthony	NYK	74	SF	9	9.3	14.5	43.3
Joel Anthony	SAS	19	C	17	14.4	3.4	62.5
Trevor Ariza	HOU	80	SF	8	9	8.8	40.9
Darrell Arthur	DEN	41	PF	13.8	9.7	9.3	44.2
Omer Asik	NOP	31	C	14.6	17.8	4.2	47.699999999999996
D.J. Augustin	ORL	78	PG	13.3	4.1	20.4	37.7
Luke Babbitt	MIA	68	SF	8	7.4	4.8	40.2
Ron Baker	NYK	52	SG	19.2	6.2	17.3	37.8
Wade Baldwin	MEM	33	PG	23.4	6.5	22.8	31.3
Leandro Barbosa	PHO	67	SG	10.4	5.9	13	43.9
J.J. Barea	DAL	35	PG	14.7	6.3	44.2	41.4
Harrison Barnes	DAL	79	PF	6.8	8.2	7.8	46.800000000000004
Matt Barnes	TOT	74	SF	17.3	12.4	15.6	39.1
Matt Barnes	SAC	54	SF	16.8	12.5	16.2	38.4
Matt Barnes	GSW	20	SF	19.3	12.2	13.7	42.199999999999996
Will Barton	DEN	60	SG	11.5	8.4	17.7	44.3
Brandon Bass	LAC	52	PF	11.4	12.5	5.7	57.49999999999999
Nicolas Batum	CHO	77	SG	15	10.1	27.6	40.300000000000004
Jerryd Bayless	PHI	3	PG	19.8	9.3	29.4	34.4
Aron Baynes	DET	75	C	13.5	15.6	3.9	51.300000000000004
Kent Bazemore	ATL	73	SF	13.6	6.5	14.2	40.9
Bradley Beal	WAS	77	SG	9.6	5	16.2	48.199999999999996
Malik Beasley	DEN	22	SG	9.4	5.7	10.2	45.2
Michael Beasley	MIL	56	PF	12.7	12	9.9	53.2
Marco Belinelli	CHO	74	SG	9.2	5.5	13.1	42.9
DeAndre' Bembry	ATL	38	SF	13.2	8.7	11.5	48
Dragan Bender	PHO	43	PF	16.2	9.7	5.5	35.4
Anthony Bennett	BRK	23	PF	10	15.6	7.1	41.3
Ben Bentil	DAL	3	PF	25	11.6	0	0
Davis Bertans	SAS	67	PF	11.4	6.9	8.3	44
Patrick Beverley	HOU	67	SG	14.6	10.4	18.8	42
Bismack Biyombo	ORL	81	C	17.7	17.2	6	52.800000000000004
Nemanja Bjelica	MIN	65	PF	13.4	12	9.6	42.4
Tarik Black	LAL	67	C	14.5	17.1	5.3	51
Eric Bledsoe	PHO	66	PG	15.3	8	31.1	43.4
Bojan Bogdanovic	TOT	81	SF	12	7.2	8.7	44.5
Bojan Bogdanovic	BRK	55	SF	11.8	7	10.1	44
Bojan Bogdanovic	WAS	26	SF	12.4	7.5	5.2	45.7
Andrew Bogut	TOT	27	C	33.4	21.7	12.3	46.9
Andrew Bogut	DAL	26	C	33.4	21.7	12.3	46.9
Andrew Bogut	CLE	1	C	NA	0	0	NA
Joel Bolomboy	UTA	12	PF	9.7	18.5	6.3	56.3
Devin Booker	PHO	78	SG	12.9	5	16.3	42.3
Trevor Booker	BRK	71	PF	16.6	17.2	12.9	51.6
Avery Bradley	BOS	55	SG	9.7	10.1	10.9	46.300000000000004
Corey Brewer	TOT	82	SF	12.7	7.1	10.7	42.199999999999996
Corey Brewer	HOU	58	SF	12.7	6.7	9	41.4
Corey Brewer	LAL	24	SF	12.6	7.9	15	43.8
Malcolm Brogdon	MIL	75	SG	14.1	6.3	24.3	45.7
Aaron Brooks	IND	65	PG	17.2	4.3	20.7	40.300000000000004
Anthony Brown	TOT	11	SF	10.7	11	7.6	36
Anthony Brown	NOP	9	SF	10.9	9.6	5.9	34.1
Anthony Brown	ORL	2	SF	10	23.8	23	44.4
Bobby Brown	HOU	25	PG	7.6	2.7	17.6	38.3
Jaylen Brown	BOS	78	SF	12.5	9.1	7.2	45.4
Nicolas Brussino	DAL	54	SF	14.7	10.6	13.9	36.9
Reggie Bullock	DET	31	SF	7.1	7.5	8.8	42.199999999999996
Trey Burke	WAS	57	PG	15.2	3.8	20.7	45.5
Alec Burks	UTA	42	SG	11	10.6	7.5	39.900000000000006
Jimmy Butler	CHI	76	SF	9.3	9	24.8	45.5
Bruno Caboclo	TOR	9	SF	11.1	14.1	15.1	37.5
Jose Calderon	TOT	41	PG	22.7	7.5	23.3	41
Jose Calderon	LAL	24	PG	24.8	7.9	24.7	41.6
Jose Calderon	ATL	17	PG	19.9	7.1	21.6	40.400000000000006
Kentavious Caldwell-Pope	DET	76	SG	7.9	5.3	11.2	39.900000000000006
Isaiah Canaan	CHI	39	SG	9.6	4.5	9	36.4
Clint Capela	HOU	65	C	12	18.5	6.9	64.3
DeMarre Carroll	TOR	72	SF	8.3	8.3	5.7	40.1
Vince Carter	MEM	73	SF	8.5	7.2	11.5	39.4
Michael Carter-Williams	CHI	45	PG	16.3	9.7	20	36.6
Omri Casspi	TOT	36	SF	14	10.1	8.6	46.7
Omri Casspi	SAC	22	SF	11.9	13.1	10.1	45.300000000000004
Omri Casspi	NOP	1	SF	18.2	4.4	0	55.60000000000001
Omri Casspi	MIN	13	SF	19	5.3	6.8	48.699999999999996
Willie Cauley-Stein	SAC	75	C	11.2	13.8	9.4	53
Tyson Chandler	PHO	47	C	19.2	22.6	3.3	67.10000000000001
Wilson Chandler	DEN	71	SF	10	11.5	9.8	46.1
Marquese Chriss	PHO	82	PF	13.2	10.8	5.2	44.9
Rakeem Christmas	IND	29	PF	12.5	14.4	2.5	44.2
Semaj Christon	OKC	64	PG	15.4	5	18.1	34.5
Ian Clark	GSW	77	SG	10.7	5.9	11.2	48.699999999999996
Jordan Clarkson	LAL	82	SG	12.5	5.6	14.4	44.5
Norris Cole	OKC	13	PG	11	4.9	16.3	30.8
Darren Collison	SAC	68	PG	12.6	4.3	24.5	47.599999999999994
Nick Collison	OKC	20	PF	13.1	13	13.2	60.9
Mike Conley	MEM	69	PG	11.8	6	34.5	46
Pat Connaughton	POR	39	SG	18.3	9.1	12.7	51.4
Quinn Cook	TOT	14	PG	16	2	22.8	50
Quinn Cook	DAL	5	PG	23.6	2.3	25.7	44
Quinn Cook	NOP	9	PG	10.6	1.9	20.7	53.7
DeMarcus Cousins	TOT	72	C	13.5	18.2	25.8	45.2
DeMarcus Cousins	SAC	55	C	13.2	17.9	27.4	45.1
DeMarcus Cousins	NOP	17	C	14.4	19.5	20.6	45.2
Robert Covington	PHI	67	SF	13.9	11.3	7.5	39.900000000000006
Allen Crabbe	POR	79	SG	8.1	5.5	6.1	46.800000000000004
Jamal Crawford	LAC	82	SG	12.3	3.3	15.1	41.3
Jordan Crawford	NOP	19	SG	9.8	4.1	22.7	48.199999999999996
Jae Crowder	BOS	72	SF	8.8	9.9	10.1	46.300000000000004
Dante Cunningham	NOP	66	SF	7	8.9	3.1	48.5
Seth Curry	DAL	70	PG	11	5.1	15.9	48.1
Stephen Curry	GSW	79	PG	13	7.3	31.1	46.800000000000004
Troy Daniels	MEM	67	SG	8	4.8	6.6	37.4
Anthony Davis	NOP	75	C	9.1	17.3	11.1	50.4
Deyonta Davis	MEM	36	C	12.7	14.4	1.3	51.1
Ed Davis	POR	46	PF	17.2	17.1	4.8	52.800000000000004
Dewayne Dedmon	SAS	76	C	16.9	21.1	4.8	62.2
Sam Dekker	HOU	77	SF	8.2	10.9	7.7	47.3
Malcolm Delaney	ATL	73	PG	18.1	5.5	23.1	37.4
Matthew Dellavedova	MIL	76	PG	18.8	4.3	25.7	39
Luol Deng	LAL	56	SF	8.7	10.8	7	38.7
DeMar DeRozan	TOR	74	SG	9	8.3	20.6	46.7
Cheick Diallo	NOP	17	PF	7.6	19.3	3.2	47.4
Boris Diaw	UTA	73	PF	20.3	7.1	20.3	44.6
Gorgui Dieng	MIN	82	PF	12.7	14.2	8.6	50.2
Spencer Dinwiddie	BRK	59	PG	15.1	6.5	20.3	44.4
Toney Douglas	MEM	24	PG	13.9	8.9	22.2	36.8
Goran Dragic	MIA	73	PG	14.1	6.3	29	47.5
Andre Drummond	DET	81	C	12.5	25.3	5.9	53
Jared Dudley	PHO	64	PF	16.1	9	12.5	45.4
Mike Dunleavy	TOT	53	SF	10.5	7.5	8.6	42.3
Mike Dunleavy	CLE	23	SF	12.5	7.1	7.5	40
